Export der Kurvenform vom 13.04.2015 08:58:25:
----------------------------------------------
 U1= 231,7V ; U2= 230,2V ; U3= 233,5V ;
 I1= 134,0A ; I2= 117,2A ; I3= 130,6A ;
----------------------------------------------
  U1 ;  U2 ;  U3 ;  I1 ;  I2 ;  I3 ;
 201 ; 147 ;  26 ; 147 ; 132 ; 145 ;
 197 ; 151 ;  26 ; 146 ; 133 ; 146 ;
 193 ; 156 ;  25 ; 145 ; 134 ; 147 ;
 189 ; 161 ;  25 ; 144 ; 135 ; 147 ;
 184 ; 166 ;  25 ; 142 ; 136 ; 147 ;
 177 ; 171 ;  25 ; 141 ; 136 ; 146 ;
 172 ; 176 ;  25 ; 140 ; 136 ; 145 ;
 167 ; 178 ;  25 ; 140 ; 136 ; 144 ;
 162 ; 182 ;  26 ; 139 ; 138 ; 144 ;
 157 ; 186 ;  27 ; 137 ; 139 ; 143 ;
 152 ; 191 ;  27 ; 137 ; 141 ; 143 ;
 147 ; 196 ;  28 ; 137 ; 142 ; 143 ;
 142 ; 200 ;  28 ; 136 ; 142 ; 142 ;
 138 ; 203 ;  30 ; 136 ; 142 ; 141 ;
 134 ; 205 ;  33 ; 135 ; 142 ; 140 ;
 129 ; 208 ;  36 ; 133 ; 143 ; 140 ;
 124 ; 210 ;  38 ; 133 ; 144 ; 139 ;
 118 ; 212 ;  41 ; 132 ; 144 ; 138 ;
 113 ; 215 ;  44 ; 131 ; 145 ; 137 ;
 109 ; 217 ;  47 ; 130 ; 145 ; 137 ;
 105 ; 218 ;  49 ; 130 ; 146 ; 136 ;
 101 ; 219 ;  52 ; 129 ; 146 ; 135 ;
  97 ; 219 ;  56 ; 128 ; 147 ; 134 ;
  92 ; 220 ;  60 ; 127 ; 148 ; 133 ;
  87 ; 220 ;  65 ; 126 ; 148 ; 132 ;
  82 ; 220 ;  71 ; 124 ; 148 ; 131 ;
  77 ; 220 ;  77 ; 124 ; 147 ; 131 ;
