Export der Kurvenform vom 13.04.2015 08:46:54:
----------------------------------------------
 U1= 232,2V ; U2= 231,0V ; U3= 229,9V ;
 I1=  60,6A ; I2=  66,1A ; I3=  46,5A ;
----------------------------------------------
  U1 ;  U2 ;  U3 ;  I1 ;  I2 ;  I3 ;
 144 ; 188 ;  52 ; 114 ; 195 ;  88 ;
 148 ; 186 ;  51 ; 121 ; 194 ;  84 ;
 152 ; 183 ;  51 ; 127 ; 194 ;  80 ;
 156 ; 179 ;  51 ; 133 ; 192 ;  75 ;
 159 ; 175 ;  50 ; 139 ; 186 ;  74 ;
 163 ; 170 ;  50 ; 140 ; 183 ;  71 ;
 167 ; 166 ;  50 ; 142 ; 183 ;  68 ;
 170 ; 162 ;  50 ; 148 ; 183 ;  65 ;
 173 ; 159 ;  50 ; 151 ; 183 ;  64 ;
 177 ; 156 ;  51 ; 154 ; 181 ;  64 ;
 180 ; 152 ;  51 ; 158 ; 179 ;  64 ;
 183 ; 149 ;  51 ; 161 ; 178 ;  66 ;
 187 ; 145 ;  51 ; 166 ; 174 ;  69 ;
 190 ; 141 ;  52 ; 173 ; 170 ;  73 ;
 192 ; 137 ;  54 ; 175 ; 169 ;  77 ;
 194 ; 134 ;  56 ; 176 ; 167 ;  82 ;
 196 ; 130 ;  58 ; 177 ; 164 ;  86 ;
 198 ; 126 ;  60 ; 178 ; 161 ;  87 ;
 200 ; 123 ;  62 ; 180 ; 158 ;  88 ;
 202 ; 119 ;  64 ; 181 ; 156 ;  88 ;
 203 ; 116 ;  66 ; 181 ; 154 ;  89 ;
 205 ; 112 ;  68 ; 181 ; 148 ;  91 ;
 206 ; 107 ;  71 ; 184 ; 142 ;  90 ;
 206 ; 103 ;  73 ; 188 ; 139 ;  91 ;
 206 ; 100 ;  77 ; 192 ; 136 ;  93 ;
 207 ;  96 ;  81 ; 196 ; 130 ;  98 ;
 207 ;  92 ;  85 ; 199 ; 126 ; 104 ;
 207 ;  88 ;  90 ; 202 ; 121 ; 105 ;
 207 ;  85 ;  94 ; 206 ; 117 ; 104 ;
 207 ;  82 ;  98 ; 207 ; 115 ; 104 ;
 206 ;  79 ; 101 ; 208 ; 109 ; 103 ;
 206 ;  76 ; 104 ; 209 ; 103 ; 102 ;
 206 ;  73 ; 108 ; 208 ;  99 ; 102 ;
 205 ;  69 ; 111 ; 206 ;  93 ; 104 ;
 204 ;  66 ; 115 ; 201 ;  89 ; 107 ;
 203 ;  64 ; 119 ; 193 ;  87 ; 109 ;
 201 ;  61 ; 123 ; 187 ;  84 ; 111 ;
 199 ;  60 ; 126 ; 182 ;  81 ; 113 ;
 197 ;  58 ; 131 ; 181 ;  78 ; 113 ;
 195 ;  56 ; 134 ; 181 ;  76 ; 116 ;
 192 ;  55 ; 138 ; 181 ;  76 ; 116 ;
 190 ;  53 ; 141 ; 182 ;  74 ; 118 ;
 188 ;  52 ; 145 ; 183 ;  70 ; 122 ;
 186 ;  51 ; 149 ; 182 ;  68 ; 123 ;
 183 ;  51 ; 153 ; 183 ;  63 ; 126 ;
 179 ;  50 ; 156 ; 182 ;  60 ; 131 ;
 175 ;  50 ; 160 ; 174 ;  59 ; 135 ;
 171 ;  50 ; 164 ; 166 ;  58 ; 138 ;
 167 ;  50 ; 167 ; 164 ;  55 ; 140 ;
 163 ;  50 ; 171 ; 167 ;  52 ; 143 ;
 159 ;  50 ; 174 ; 169 ;  51 ; 145 ;
 156 ;  51 ; 177 ; 170 ;  50 ; 148 ;
 152 ;  51 ; 180 ; 170 ;  50 ; 151 ;
 148 ;  51 ; 184 ; 170 ;  52 ; 152 ;
 145 ;  52 ; 187 ; 169 ;  54 ; 155 ;
 141 ;  53 ; 190 ; 166 ;  58 ; 159 ;
 137 ;  54 ; 192 ; 164 ;  62 ; 161 ;
 134 ;  56 ; 194 ; 163 ;  63 ; 161 ;
 130 ;  58 ; 196 ; 160 ;  63 ; 162 ;
 126 ;  60 ; 198 ; 155 ;  63 ; 164 ;
 122 ;  62 ; 200 ; 151 ;  63 ; 166 ;
 118 ;  64 ; 201 ; 149 ;  64 ; 167 ;
 115 ;  66 ; 203 ; 149 ;  65 ; 167 ;
 111 ;  68 ; 204 ; 147 ;  67 ; 169 ;
 107 ;  71 ; 205 ; 139 ;  68 ; 173 ;
 103 ;  74 ; 205 ; 133 ;  67 ; 179 ;
  99 ;  78 ; 205 ; 126 ;  71 ; 182 ;
  96 ;  82 ; 205 ; 121 ;  77 ; 184 ;
  92 ;  87 ; 205 ; 120 ;  78 ; 187 ;
  88 ;  91 ; 205 ; 117 ;  79 ; 190 ;
  85 ;  94 ; 205 ; 112 ;  79 ; 193 ;
