Export der Kurvenform vom 13.04.2015 09:08:17:
----------------------------------------------
 U1= 232,2V ; U2= 231,2V ; U3= 234,2V ;
 I1= 351,4A ; I2= 345,0A ; I3= 281,8A ;
----------------------------------------------
  U1 ;  U2 ;  U3 ;  I1 ;  I2 ;  I3 ;
 149 ;  22 ; 201 ; 131 ;  98 ; 147 ;
 153 ;  21 ; 197 ; 132 ;  98 ; 145 ;
 158 ;  21 ; 194 ; 134 ;  98 ; 142 ;
 162 ;  20 ; 189 ; 136 ;  98 ; 140 ;
 167 ;  20 ; 184 ; 137 ;  98 ; 138 ;
 172 ;  20 ; 178 ; 139 ;  97 ; 137 ;
 177 ;  20 ; 173 ; 140 ;  97 ; 137 ;
 180 ;  21 ; 168 ; 141 ;  97 ; 136 ;
 183 ;  21 ; 164 ; 143 ;  97 ; 134 ;
 187 ;  21 ; 159 ; 146 ;  97 ; 132 ;
 191 ;  22 ; 154 ; 150 ;  97 ; 131 ;
 196 ;  22 ; 148 ; 152 ;  97 ; 130 ;
 202 ;  23 ; 143 ; 154 ;  98 ; 130 ;
 206 ;  24 ; 138 ; 155 ;  98 ; 129 ;
 209 ;  26 ; 134 ; 156 ;  98 ; 128 ;
 211 ;  29 ; 130 ; 157 ;  99 ; 127 ;
 213 ;  31 ; 124 ; 159 ;  98 ; 126 ;
 215 ;  34 ; 119 ; 161 ;  98 ; 124 ;
 218 ;  37 ; 114 ; 163 ;  98 ; 124 ;
 220 ;  39 ; 110 ; 163 ;  98 ; 123 ;
 222 ;  42 ; 105 ; 164 ;  99 ; 122 ;
 223 ;  45 ; 101 ; 165 ; 100 ; 121 ;
 224 ;  48 ;  96 ; 165 ; 102 ; 120 ;
 225 ;  52 ;  91 ; 166 ; 104 ; 118 ;
 225 ;  57 ;  86 ; 165 ; 106 ; 117 ;
 225 ;  62 ;  81 ; 165 ; 108 ; 116 ;
 225 ;  67 ;  77 ; 166 ; 109 ; 115 ;
 225 ;  72 ;  72 ; 165 ; 110 ; 114 ;
 225 ;  77 ;  70 ; 165 ; 111 ; 112 ;
 225 ;  81 ;  66 ; 165 ; 113 ; 109 ;
 225 ;  86 ;  62 ; 164 ; 115 ; 107 ;
